date,alternative,country,electronic,hip-hop,latin,other,pop,r&b,reggae,rock
1999,2.0,5.0,2.0,16.0,1.0,0.0,40.0,35.0,0.0,18.0
2000,7.0,5.0,1.0,11.0,1.0,0.0,35.0,17.0,0.0,7.0
2001,2.0,6.0,1.0,20.0,0.0,0.0,35.0,18.0,0.0,6.0
2002,3.0,3.0,3.0,23.0,0.0,0.0,33.0,13.0,0.0,10.0
2003,9.0,5.0,0.0,32.0,0.0,0.0,27.0,16.0,1.0,2.0
2004,8.0,0.0,0.0,32.0,0.0,0.0,31.0,11.0,0.0,4.0
2005,10.0,1.0,1.0,33.0,0.0,0.0,38.0,6.0,0.0,5.0
2006,7.0,4.0,1.0,28.0,0.0,1.0,51.0,2.0,0.0,7.0
2007,9.0,5.0,0.0,27.0,0.0,0.0,51.0,10.0,0.0,2.0
2008,8.0,4.0,1.0,20.0,0.0,0.0,64.0,6.0,0.0,1.0
2009,5.0,8.0,0.0,19.0,0.0,0.0,66.0,0.0,1.0,2.0
2010,1.0,3.0,1.0,19.0,0.0,0.0,71.0,0.0,0.0,0.0
2011,5.0,9.0,0.0,24.0,0.0,0.0,64.0,1.0,0.0,1.0
2012,0.0,7.0,3.0,7.0,0.0,0.0,70.0,1.0,0.0,2.0
2013,2.0,7.0,8.0,18.0,0.0,0.0,51.0,1.0,0.0,5.0
2014,4.0,6.0,7.0,8.0,1.0,1.0,50.0,4.0,0.0,3.0
2015,1.0,4.0,4.0,12.0,0.0,0.0,48.0,1.0,1.0,2.0
2016,1.0,1.0,9.0,26.0,2.0,0.0,49.0,1.0,0.0,4.0
2017,1.0,2.0,7.0,31.0,2.0,0.0,39.0,0.0,0.0,4.0
2018,7.0,1.0,4.0,75.0,1.0,0.0,34.0,2.0,0.0,2.0
2019,6.0,8.0,5.0,37.0,0.0,0.0,39.0,0.0,0.0,0.0
