	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
alternative	2.0	7.0	2.0	3.0	9.0	8.0	10.0	7.0	9.0	8.0	5.0	1.0	5.0	0.0	2.0	4.0	1.0	1.0	1.0	7.0	6.0
country	5.0	5.0	6.0	3.0	5.0	0.0	1.0	4.0	5.0	4.0	8.0	3.0	9.0	7.0	7.0	6.0	4.0	1.0	2.0	1.0	8.0
electronic	2.0	1.0	1.0	3.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	3.0	8.0	7.0	4.0	9.0	7.0	4.0	5.0
hip-hop	16.0	11.0	20.0	23.0	32.0	32.0	33.0	28.0	27.0	20.0	19.0	19.0	24.0	7.0	18.0	8.0	12.0	26.0	31.0	75.0	37.0
latin	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	2.0	1.0	0.0
other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
pop	40.0	35.0	35.0	33.0	27.0	31.0	38.0	51.0	51.0	64.0	66.0	71.0	64.0	70.0	51.0	50.0	48.0	49.0	39.0	34.0	39.0
r&b	35.0	17.0	18.0	13.0	16.0	11.0	6.0	2.0	10.0	6.0	0.0	0.0	1.0	1.0	1.0	4.0	1.0	1.0	0.0	2.0	0.0
reggae	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
rock	18.0	7.0	6.0	10.0	2.0	4.0	5.0	7.0	2.0	1.0	2.0	0.0	1.0	2.0	5.0	3.0	2.0	4.0	4.0	2.0	0.0
Base: All Respondents	119.0	84.0	88.0	88.0	92.0	86.0	94.0	101.0	104.0	104.0	101.0	95.0	104.0	90.0	92.0	84.0	73.0	93.0	86.0	126.0	95.0
